date,ID,pop,avg_age,mvu_lvu_share_pop,labour_force_share,w_ave_socio_index,w_ave_urban_index
2007-07-01,Capital,1638382,39.5,18.605184871415826,55.35949491632598,1.0230027254110243,97.17117223193763
2007-07-01,Central Denmark,1228965,39.1,13.293462385015035,53.215510612588645,0.9634801397924272,83.36731054179737
2007-07-01,North Denmark,577062,40.6,11.338296404892368,50.601148576756046,0.9269681594005496,79.22844235108188
2007-07-01,Southern Denmark,1190671,40.3,11.66417927370365,51.14763020179379,1.0285124869453677,82.42092576370803
2007-07-01,Zealand,816915,40.9,11.358342055170978,51.535349454961654,1.0253523316379305,79.39047171370338
2007-08-01,Capital,1638382,39.5,18.605184871415826,55.35949491632598,1.0230027254110243,97.17117223193763
2007-08-01,Central Denmark,1228965,39.1,13.293462385015035,53.215510612588645,0.9634801397924272,83.36731054179737
2007-08-01,North Denmark,577062,40.6,11.338296404892368,50.601148576756046,0.9269681594005496,79.22844235108188
2007-08-01,Southern Denmark,1190671,40.3,11.66417927370365,51.14763020179379,1.0285124869453677,82.42092576370803
2007-08-01,Zealand,816915,40.9,11.358342055170978,51.535349454961654,1.0253523316379305,79.39047171370338
2007-09-01,Capital,1638382,39.5,18.605184871415826,55.35949491632598,1.1036763933015317,97.17117223193763
2007-09-01,Central Denmark,1228965,39.1,13.293462385015035,53.215510612588645,0.9042998458052102,83.36731054179737
2007-09-01,North Denmark,577062,40.6,11.338296404892368,50.601148576756046,0.9666575515282586,79.22844235108188
2007-09-01,Southern Denmark,1190671,40.3,11.66417927370365,51.14763020179379,0.9990031417787232,82.42092576370803
2007-09-01,Zealand,816915,40.9,11.358342055170978,51.535349454961654,0.9664603171688608,79.39047171370338
2007-10-01,Capital,1638436,39.5,18.60457167689186,55.17456891816342,1.1035247262472991,97.16909396096052
2007-10-01,Central Denmark,1231121,39.1,13.270182216045376,52.39127591845157,0.9040580657790748,83.35400224673285
2007-10-01,North Denmark,577540,40.6,11.328912283131904,51.59815770336253,0.9665783149219102,79.21803320982097
2007-10-01,Southern Denmark,1192164,40.3,11.649571703222039,50.91581359611597,0.9987746123319642,82.40327756919349
2007-10-01,Zealand,818161,40.9,11.341044122122664,51.701315511250236,0.9664444773094782,79.38092600356164
2007-11-01,Capital,1638436,39.5,18.60457167689186,55.17456891816342,1.1035247262472991,97.16909396096052
2007-11-01,Central Denmark,1231121,39.1,13.270182216045376,52.39127591845157,0.9040580657790748,83.35400224673285
2007-11-01,North Denmark,577540,40.6,11.328912283131904,51.59815770336253,0.9665783149219102,79.21803320982097
2007-11-01,Southern Denmark,1192164,40.3,11.649571703222039,50.91581359611597,0.9987746123319642,82.40327756919349
2007-11-01,Zealand,818161,40.9,11.341044122122664,51.701315511250236,0.9664444773094782,79.38092600356164
2007-12-01,Capital,1638436,39.5,18.60457167689186,55.17456891816342,1.1035247262472991,97.16909396096052
2007-12-01,Central Denmark,1231121,39.1,13.270182216045376,52.39127591845157,0.9040580657790748,83.35400224673285
2007-12-01,North Denmark,577540,40.6,11.328912283131904,51.59815770336253,0.9665783149219102,79.21803320982097
2007-12-01,Southern Denmark,1192164,40.3,11.649571703222039,50.91581359611597,0.9987746123319642,82.40327756919349
2007-12-01,Zealand,818161,40.9,11.341044122122664,51.701315511250236,0.9664444773094782,79.38092600356164
2008-01-01,Capital,1644835,39.5,18.532193198709898,54.71673450528473,1.1038572198993275,97.17755698624524
2008-01-01,Central Denmark,1235009,39.1,13.228405622954973,52.631195400195466,0.90436322326396,83.38392894302795
2008-01-01,North Denmark,578429,40.6,11.311500633612768,51.173091252340384,0.9665534750159483,79.24201016892306
2008-01-01,Southern Denmark,1193488,40.3,11.636648210958132,51.36205810196667,0.9987882286302338,82.41277901411661
2008-01-01,Zealand,819148,40.9,11.327379179342437,51.516941993388265,0.9662749222362748,79.38578462011748
2008-02-01,Capital,1644835,39.5,18.532193198709898,54.71673450528473,1.1038572198993275,97.17755698624524
2008-02-01,Central Denmark,1235009,39.1,13.228405622954973,52.631195400195466,0.90436322326396,83.38392894302795
2008-02-01,North Denmark,578429,40.6,11.311500633612768,51.173091252340384,0.9665534750159483,79.24201016892306
2008-02-01,Southern Denmark,1193488,40.3,11.636648210958132,51.36205810196667,0.9987882286302338,82.41277901411661
2008-02-01,Zealand,819148,40.9,11.327379179342437,51.516941993388265,0.9662749222362748,79.38578462011748
2008-03-01,Capital,1644835,39.5,18.532193198709898,54.71673450528473,1.1038572198993275,97.17755698624524
2008-03-01,Central Denmark,1235009,39.1,13.228405622954973,52.631195400195466,0.90436322326396,83.38392894302795
2008-03-01,North Denmark,578429,40.6,11.311500633612768,51.173091252340384,0.9665534750159483,79.24201016892306
2008-03-01,Southern Denmark,1193488,40.3,11.636648210958132,51.36205810196667,0.9987882286302338,82.41277901411661
2008-03-01,Zealand,819148,40.9,11.327379179342437,51.516941993388265,0.9662749222362748,79.38578462011748
2008-04-01,Capital,1645825,39.5,18.52104567618064,53.46862515759574,1.1040826527332264,97.17964057265809
2008-04-01,Central Denmark,1237041,39.2,13.206676254061104,51.65552313949174,0.9042837868752936,83.38488158436141
2008-04-01,North Denmark,578839,40.7,11.303488534808471,49.58200812315688,0.9665123289895808,79.23648199240205
2008-04-01,Southern Denmark,1194659,40.5,11.625242014666949,50.47465427372999,0.9987089689256384,82.41170241884923
2008-04-01,Zealand,819427,41.1,11.323522412612714,52.353656884627924,0.9662238491043129,79.38262456570261
2008-05-01,Capital,1645825,39.5,18.52104567618064,53.46862515759574,1.1040826527332264,97.21398030903023
