date,labour_force,ID
2015-07-01,381000,Zealand
2015-10-01,385000,Zealand
2016-01-01,364000,Zealand
2016-04-01,386000,Zealand
2016-07-01,396000,Zealand
2016-10-01,392000,Zealand
2017-01-01,381000,Zealand
2017-04-01,389000,Zealand
2017-07-01,397000,Zealand
2017-10-01,399000,Zealand
2018-01-01,393000,Zealand
2018-04-01,389000,Zealand
2018-07-01,388000,Zealand
2018-10-01,386000,Zealand
2019-01-01,390000,Zealand
2019-04-01,399000,Zealand
2008-01-01,406000,Zealand
2008-04-01,421000,Zealand
2008-07-01,429000,Zealand
2008-10-01,420000,Zealand
2009-01-01,417000,Zealand
2009-04-01,414000,Zealand
2009-07-01,413000,Zealand
2009-10-01,411000,Zealand
2010-01-01,412000,Zealand
2010-04-01,407000,Zealand
2010-07-01,405000,Zealand
2010-10-01,403000,Zealand
2011-01-01,390000,Zealand
2011-04-01,393000,Zealand
2011-07-01,411000,Zealand
2011-10-01,393000,Zealand
2012-01-01,372000,Zealand
2012-04-01,390000,Zealand
2012-07-01,397000,Zealand
2012-10-01,383000,Zealand
2013-01-01,392000,Zealand
2013-04-01,379000,Zealand
