date,pop,ID,mvu_lvu_share_pop,labour_force_share,w_ave_socio_index,w_ave_urban_index
2007-02-01,1189817,Southern Denmark,11.347711454786744,49.55365657071632,1.0286178435205533,81.95423539922524
2007-02-01,1636749,Capital,18.111390323134454,53.34965837767428,1.0228363233768407,97.09857581382505
2007-02-01,576972,North Denmark,11.066394903045557,49.92622172306454,0.9270144998370804,78.97767014690488
2007-02-01,1227428,Central Denmark,12.9154622511463,52.62691579465354,0.9637348504352188,83.05452564223725
2007-02-01,816118,Zealand,11.064331383451902,49.92644446023737,1.0253310183086268,79.0102241342551
2007-03-01,1189817,Southern Denmark,11.347711454786744,49.904542463252746,1.0286178435205535,81.95423539922524
2007-03-01,576972,North Denmark,11.066394903045557,50.61308521037417,0.9270144998370804,78.97767014690488
2007-03-01,1636749,Capital,18.111390323134454,53.111508239809524,1.0228363233768407,97.09857581382505
2007-03-01,816118,Zealand,11.064331383451902,50.28875236179082,1.025331018308627,79.01022413425507
2007-03-01,1227428,Central Denmark,12.9154622511463,52.828481996499995,0.9637348504352188,83.05452564223727
2007-04-01,1189817,Southern Denmark,11.347711454786744,49.49910616506572,1.0286178435205535,81.95423539922525
2007-04-01,576972,North Denmark,11.066394903045557,50.192147972518605,0.9270144998370804,78.97767014690488
2007-04-01,816118,Zealand,11.064331383451902,50.34227648452797,1.0253310183086268,79.01022413425507
2007-04-01,1636749,Capital,18.111390323134454,52.97723413913801,1.022836323376841,97.09857581382505
2007-04-01,1227428,Central Denmark,12.9154622511463,52.59220337160306,0.9637348504352192,83.05452564223727
2007-05-01,1227428,Central Denmark,12.9154622511463,51.43249787360237,0.9637348504352192,83.37406446651045
2007-05-01,576972,North Denmark,11.066394903045557,50.667536726218955,0.9270144998370804,79.22840103159253
2007-05-01,1189817,Southern Denmark,11.347711454786744,50.69990679238908,1.0286178435205535,82.42533137448869
2007-05-01,1636749,Capital,18.111390323134454,53.06449308965517,1.0228363233768407,97.1666623489143
2007-05-01,816118,Zealand,11.064331383451902,50.140774985970175,1.0253310183086268,79.39061422490374
2007-06-01,816118,Zealand,11.064331383451902,50.759611967877184,1.0253310183086268,79.39061422490377
2007-06-01,1189817,Southern Denmark,11.347711454786744,49.749067293541785,1.0286178435205535,82.42533137448869
2007-06-01,576972,North Denmark,11.066394903045557,50.487342540019284,0.9270144998370804,79.22840103159253
2007-06-01,1636749,Capital,18.111390323134454,52.64292570210826,1.0228363233768405,97.16666234891431
2007-06-01,1227428,Central Denmark,12.9154622511463,52.798752350443365,0.9637348504352192,83.37406446651045
2007-07-01,1227428,Central Denmark,13.310108617369002,52.7231976132205,0.9637348504352192,83.37406446651045
2007-07-01,1189817,Southern Denmark,11.672551325119743,49.710637854392736,1.0286178435205535,82.42533137448869
2007-07-01,1636749,Capital,18.623747440811023,53.05639410807643,1.0228363233768405,97.16666234891431
2007-07-01,816118,Zealand,11.369434321997554,49.64752033406933,1.0253310183086268,79.39061422490374
2007-07-01,576972,North Denmark,11.340065029152196,50.002426460902775,0.9270144998370804,79.22840103159255
2007-08-01,1636749,Capital,18.623747440811023,53.1660376759051,1.0228363233768405,97.16666234891431
2007-08-01,816118,Zealand,11.369434321997554,49.300060775525104,1.0253310183086268,79.39061422490374
2007-08-01,576972,North Denmark,11.340065029152196,50.3410997414086,0.9270144998370804,79.22840103159255
2007-08-01,1227428,Central Denmark,13.310108617369002,52.282659349468965,0.9637348504352188,83.37406446651045
2007-08-01,1189817,Southern Denmark,11.672551325119743,50.2178066038727,1.0286178435205533,82.42533137448869
2007-09-01,576972,North Denmark,11.340065029152196,50.247738191801346,0.9667143986189968,79.22840103159253
2007-09-01,1227428,Central Denmark,13.310108617369002,51.45598682774061,0.9044489778626528,83.37406446651045
2007-09-01,816118,Zealand,11.369434321997554,49.36908633310379,0.9664944530080208,79.39061422490374
2007-09-01,1636749,Capital,18.623747440811023,53.00012097151121,1.1032895957239588,97.1666623489143
2007-09-01,1189817,Southern Denmark,11.672551325119743,50.23055814465586,0.9990711558775626,82.42533137448869
2007-10-01,1227428,Central Denmark,13.310108617369002,52.20607644603186,0.9044489778626528,83.37406446651045
2007-10-01,1189817,Southern Denmark,11.672551325119743,50.314160076717684,0.9990711558775626,82.42533137448869
2007-10-01,816118,Zealand,11.369434321997554,50.71232468834164,0.966494453008021,79.39061422490377
2007-10-01,576972,North Denmark,11.340065029152196,50.42705711888965,0.9667143986189972,79.22840103159253
2007-10-01,1636749,Capital,18.623747440811023,52.598499220100344,1.1032895957239586,97.1666623489143
2007-11-01,1189817,Southern Denmark,11.672551325119743,49.20414567954568,0.9990711558775626,82.42533137448869
2007-11-01,1636749,Capital,18.623747440811023,52.54199391598834,1.1032895957239586,97.1666623489143
2007-11-01,1227428,Central Denmark,13.310108617369002,52.169047797508284,0.9044489778626528,83.37406446651045
2007-11-01,576972,North Denmark,11.340065029152196,50.58843063441554,0.9667143986189968,79.22840103159253
2007-11-01,816118,Zealand,11.369434321997554,50.801477237360274,0.966494453008021,79.39061422490377
2007-12-01,816118,Zealand,11.369434321997554,50.746548905918004,0.966494453008021,79.39061422490374
2007-12-01,1227428,Central Denmark,13.310108617369002,52.72247577862002,0.9044489778626528,83.37406446651045
2007-12-01,576972,North Denmark,11.340065029152196,50.555640481687156,0.9667143986189972,79.22840103159255
2007-12-01,1189817,Southern Denmark,11.672551325119743,50.97733853189188,0.9990711558775626,82.42533137448869
2007-12-01,1636749,Capital,18.623747440811023,52.66938974760333,1.1032895957239586,97.16666234891431
