labour_force_share,reg_nr,ID,date,pop,mvu_lvu,mvu_lvu_share,urban_share
68.4,10,Blekinge,2005-07-01,150696,28007,18.585098476402827,78.69883739448957
70.8,12,Skåne,2005-07-01,1169464,256808,21.959461770520512,87.7212124528844
73.10000000000001,13,Halland,2005-07-01,285868,54211,18.963647557614003,78.82449242307639
72.7,14,Västra Götaland,2005-07-01,1528455,320817,20.98962677998371,83.34723626145356
68.4,17,Värmland,2005-07-01,273288,47508,17.383858786335292,73.88066801323147
70.0,18,Örebro,2005-07-01,274121,50353,18.368895487759055,82.07215061961688
72.2,19,Västmanland,2005-07-01,261391,47365,18.120363746265173,87.34041823238093
71.4,20,Dalarna,2005-07-01,275755,44084,15.986654820402169,79.36827981360265
70.2,21,Gävleborg,2005-07-01,275994,43560,15.782951803300072,77.70205149387306
72.1,22,Västernorrland,2005-07-01,243736,42957,17.62439688843667,75.88907670594413
71.5,23,Jämtland,2005-07-01,127028,22886,18.016500299146646,65.62962496457475
70.0,24,Västerbotten,2005-07-01,257652,59933,23.261220561066864,76.5016378681322
69.7,25,Norrbotten,2005-07-01,251740,46813,18.595773417017558,81.77008024151903
75.0,01,Stockholm,2006-01-01,1918104,535114,27.89807017763375,95.3881726716915
70.6,03,Uppsala,2006-01-01,319925,84452,26.39743689927327,79.54031591095625
70.4,04,Södermanland,2006-01-01,263099,45327,17.22811565228298,81.9496363046259
69.7,05,Östergötland,2006-01-01,417966,86769,20.759822569299896,83.65733612296813
75.6,06,Jönköping,2006-01-01,331539,55495,16.738603904819644,82.39954691243234
75.60000000000001,07,Kronoberg,2006-01-01,179635,34016,18.936176134940297,76.81276373968157
69.3,08,Kalmar,2006-01-01,233776,39487,16.890955444528092,77.08297712273023
72.7,09,Gotland,2006-01-01,57297,9960,17.383109063301745,57.5754940161425
69.2,10,Blekinge,2006-01-01,151436,28739,18.977653926411158,78.69883739448957
70.9,12,Skåne,2006-01-01,1184500,264853,22.35989869143098,87.7212124528844
74.39999999999999,13,Halland,2006-01-01,288859,55834,19.329153670129717,78.82449242307639
