date,target_actual,ID,jobs,sector_information_technology,sector_engineering_technology,sector_management_staff,sector_trade_service,sector_industry_craft,sector_sales_communication,sector_teaching,sector_office_finance,sector_social_health,sector_other,population,high_edu_share,labour_force_share,urban_share,country,GT_DK_0,GT_DK_1,GT_DK_2,GT_DK_3,GT_DK_4,GT_DK_5,GT_DK_6,GT_DK_7,GT_DK_8,GT_DK_9,GT_DK_10,GT_DK_11,GT_DK_12,GT_DK_13,GT_DK_14,GT_DK_15,GT_DK_16,GT_DK_17,GT_DK_18,GT_DK_19,GT_DK_20,GT_DK_21
2008-01-01,3.92,Capital,,,,,,,,,,,,1636749,18.623747440811023,52.88200634306176,97.16666234891431,DK,15.27,83.81,85.33,72.57,56.82,64.58,57.35,54.17,92.31,39.8,44.9,58.78,33.02,37.12,62.64,31.14,21.08,53.05,51.68,100.0,14.08,20.7
2008-04-01,4.13,Capital,3.432511210762332,0.2695067264573991,0.22937219730941702,0.34237668161434975,0.5021300448430494,0.2989910313901345,0.26233183856502246,0.40426008968609867,0.754932735426009,0.4021300448430494,0.3721973094170404,1645825,18.52104567618064,52.8127990521471,97.18479179224964,DK,25.19,80.16,79.15,75.69,48.48,72.5,69.85,52.78,91.35,39.8,45.71,40.41,28.77,33.33,45.66,100.0,13.45,44.09,100.0,89.58,21.3,24.67
2008-07-01,3.72,Capital,2.837729357798165,0.23635321100917434,0.19541284403669723,0.294151376146789,0.4248853211009174,0.22110091743119267,0.2216743119266055,0.3569954128440367,0.6011467889908256,0.3381880733944954,0.2880733944954128,1648990,19.02024875833085,51.32671574721497,97.22623013397128,DK,14.89,69.64,93.82,61.81,55.68,94.17,30.88,57.29,90.38,43.88,43.67,38.78,30.66,39.02,47.92,22.81,38.57,43.73,30.67,86.46,17.33,24.23
2008-10-01,3.88,Capital,2.2535971223021583,0.1790167865707434,0.17170263788968826,0.25311750599520383,0.27781774580335733,0.11942446043165468,0.17446043165467626,0.29784172661870506,0.4857314148681055,0.3300959232613909,0.2356115107913669,1650985,18.997265268915214,52.493338219305436,97.21339083861326,DK,24.43,65.99,89.19,72.22,57.2,70.83,72.79,60.76,97.12,47.62,47.76,53.47,39.15,35.23,50.57,23.68,47.09,50.18,34.87,80.56,29.6,23.79
2009-01-01,6.18,Capital,1.941019417475728,0.12973300970873786,0.13944174757281555,0.204126213592233,0.23980582524271843,0.08337378640776699,0.13094660194174756,0.26407766990291265,0.399878640776699,0.35740291262135926,0.2283980582524272,1660042,18.893618354234405,52.15459849811028,97.21962426582695,DK,35.88,83.0,97.68,85.42,70.83,99.58,100.0,83.33,97.12,71.77,71.84,66.12,53.3,52.27,58.11,27.19,39.01,58.06,40.34,95.14,46.57,25.11
2009-04-01,6.56,Capital,1.7665083135391926,0.09750593824228028,0.10344418052256532,0.1809976247030879,0.23966745843230405,0.08942992874109264,0.12684085510688836,0.27339667458432304,0.3153206650831354,0.28931116389548694,0.2495249406175772,1662285,18.86812429878149,50.858506814415094,97.25181563035208,DK,42.75,75.71,79.15,75.35,56.82,66.67,91.91,75.69,84.62,78.57,60.82,57.14,34.91,42.42,52.45,18.86,48.88,52.33,35.71,88.19,44.04,27.75
2009-07-01,7.07,Capital,1.5554892601431982,0.08723150357995227,0.09116945107398568,0.1535799522673031,0.2223150357995227,0.07899761336515512,0.12470167064439142,0.24164677804295945,0.2607398568019093,0.22911694510739855,0.2369928400954654,1665879,19.432984028251752,50.845404738279285,97.25664825196306,DK,38.55,81.78,86.87,70.49,58.71,100.0,55.15,77.08,85.58,88.1,62.45,60.82,38.68,43.18,42.64,19.74,61.88,47.31,32.77,83.68,41.52,33.04
2009-10-01,7.19,Capital,1.5616306954436452,0.10443645083932855,0.09856115107913668,0.17721822541966425,0.2052757793764988,0.0605515587529976,0.13764988009592327,0.21390887290167865,0.27793764988009595,0.23633093525179857,0.22182254196642684,1668564,19.40171308981855,51.04077518153333,97.25773111138024,DK,40.08,81.78,73.75,80.56,51.14,57.08,71.32,75.0,75.0,84.35,61.22,59.59,51.89,41.29,37.74,16.67,30.04,48.03,26.89,78.12,32.85,40.97
2010-01-01,8.65,Capital,1.6859926918392203,0.12302070645554201,0.11169305724725945,0.19853836784409257,0.21327649208282584,0.0679658952496955,0.1682095006090134,0.20730816077953715,0.338489646772229,0.20012180267965896,0.26236297198538366,1678220,19.290081157416786,50.514778753679494,97.25926740440927,DK,41.6,100.0,81.85,84.38,62.12,66.25,83.09,76.04,80.77,98.98,84.08,62.45,64.62,45.45,60.38,17.98,43.5,56.27,28.15,96.53,46.93,48.46
2010-04-01,8.09,Capital,1.7617539585870887,0.13727161997563944,0.12777101096224117,0.1825822168087698,0.24397076735688186,0.0925700365408039,0.17710109622411693,0.1961023142509135,0.33520097442143726,0.17235079171741777,0.3041412911084044,1680271,19.26653498155952,50.79953412276949,97.28284865519579,DK,45.04,91.09,73.36,77.08,59.85,84.17,52.21,67.01,74.04,92.18,80.0,79.59,47.17,50.0,51.7,20.61,49.33,51.61,28.57,87.85,40.07,33.48
