date,labour_force,ID
2009-12-01,394503.7,Zealand
2009-12-01,855201.85,Capital
2010-01-01,847749.12,Capital
2010-01-01,572147.54,Southern Denmark
2010-01-01,618352.63,Central Denmark
2010-01-01,276608.45,North Denmark
2010-01-01,390667.8,Zealand
2010-02-01,275512.35,North Denmark
2010-02-01,852537.7,Capital
2010-02-01,563044.29,Southern Denmark
2010-02-01,387023.88,Zealand
2010-02-01,616131.25,Central Denmark
2010-03-01,383601.41,Zealand
2010-03-01,612798.48,Central Denmark
2010-03-01,276721.95,North Denmark
2010-03-01,859664.52,Capital
2010-03-01,567362.5,Southern Denmark
2010-04-01,615953.12,Central Denmark
2010-04-01,273862.5,North Denmark
2010-04-01,853569.84,Capital
2010-04-01,385230.0,Zealand
2010-04-01,562976.06,Southern Denmark
2010-05-01,275814.93,North Denmark
2010-05-01,616062.5,Central Denmark
2010-05-01,566414.52,Southern Denmark
2010-05-01,856962.71,Capital
2010-05-01,385248.39,Zealand
2010-06-01,856824.59,Capital
2010-06-01,384069.35,Zealand
2010-06-01,567266.13,Southern Denmark
2010-06-01,620928.57,Central Denmark
2010-06-01,275475.76,North Denmark
2010-07-01,614268.52,Central Denmark
2010-07-01,273690.32,North Denmark
2010-07-01,387432.2,Zealand
2010-07-01,563110.0,Southern Denmark
2010-07-01,852461.67,Capital
2010-08-01,622028.89,Central Denmark
2010-08-01,388725.49,Zealand
2010-08-01,854553.7,Capital
2010-08-01,561758.82,Southern Denmark
2010-08-01,276128.3,North Denmark
2010-09-01,388018.18,Zealand
2010-09-01,858779.66,Capital
2010-09-01,565635.71,Southern Denmark
2010-09-01,276482.76,North Denmark
2010-09-01,620664.71,Central Denmark
2010-10-01,619061.54,Central Denmark
2010-10-01,564913.79,Southern Denmark
2010-10-01,850473.33,Capital
2010-10-01,385131.03,Zealand
2010-10-01,274290.0,North Denmark
2010-11-01,275649.18,North Denmark
2010-11-01,610467.92,Central Denmark
2010-11-01,388332.2,Zealand
2010-11-01,566950.85,Southern Denmark
2010-11-01,849596.72,Capital
2010-12-01,615188.89,Central Denmark
2010-12-01,565913.11,Southern Denmark
2010-12-01,277474.6,North Denmark
2010-12-01,849508.06,Capital
2010-12-01,387847.54,Zealand
2011-01-01,276037.14,North Denmark
2011-01-01,619626.32,Central Denmark
2011-01-01,562304.62,Southern Denmark
2011-01-01,384724.62,Zealand
2011-01-01,851220.63,Capital
2011-02-01,556852.11,Southern Denmark
2011-02-01,615377.42,Central Denmark
2011-02-01,857123.08,Capital
2011-02-01,272542.86,North Denmark
2011-02-01,381798.59,Zealand
2011-03-01,379287.32,Zealand
2011-03-01,272488.0,North Denmark
2011-03-01,615180.33,Central Denmark
2011-03-01,561253.62,Southern Denmark
2011-03-01,852135.38,Capital
2011-04-01,606826.67,Central Denmark
2011-04-01,557029.85,Southern Denmark
2011-04-01,272287.5,North Denmark
2011-04-01,381823.19,Zealand
2011-04-01,859976.56,Capital
2011-05-01,378995.24,Zealand
2011-05-01,271557.14,North Denmark
2011-05-01,605518.87,Central Denmark
2011-05-01,558032.2,Southern Denmark
2011-05-01,855670.0,Capital
2011-06-01,851176.19,Capital
2011-06-01,380237.5,Zealand
2011-06-01,560701.67,Southern Denmark
2011-06-01,608981.48,Central Denmark
2011-06-01,271279.37,North Denmark
2011-07-01,274544.07,North Denmark
2011-07-01,857965.57,Capital
2011-07-01,559012.07,Southern Denmark
2011-07-01,605767.31,Central Denmark
2011-07-01,380224.59,Zealand
2011-08-01,851227.27,Capital
2011-08-01,552388.0,Southern Denmark
2011-08-01,617248.84,Central Denmark
2011-08-01,273407.84,North Denmark
2011-08-01,379682.69,Zealand
2011-09-01,271790.91,North Denmark
2011-09-01,610512.24,Central Denmark
2011-09-01,553128.57,Southern Denmark
2011-09-01,850835.59,Capital
2011-09-01,378783.64,Zealand
2011-10-01,271389.47,North Denmark
2011-10-01,606722.0,Central Denmark
2011-10-01,557051.72,Southern Denmark
2011-10-01,851384.75,Capital
2011-10-01,378357.89,Zealand
2011-11-01,378955.17,Zealand
2011-11-01,273505.17,North Denmark
2011-11-01,613616.0,Central Denmark
2011-11-01,557200.0,Southern Denmark
2011-11-01,848906.67,Capital
2011-12-01,609286.54,Central Denmark
2011-12-01,557232.79,Southern Denmark
2011-12-01,270891.94,North Denmark
