;geoName;geoCode;date;GT_DK_0_cross;GT_DK_1_cross;GT_DK_2_cross;GT_DK_3_cross;GT_DK_4_cross;GT_DK_5_cross;GT_DK_6_cross;GT_DK_7_cross;GT_DK_8_cross;GT_DK_9_cross;GT_DK_10_cross;GT_DK_11_cross;GT_DK_12_cross;GT_DK_13_cross;GT_DK_14_cross;GT_DK_15_cross;GT_DK_16_cross;GT_DK_17_cross;GT_DK_18_cross;GT_DK_19_cross;GT_DK_20_cross;GT_DK_21_cross;ID;trends
43;Region Syddanmark;DK-83;2006-09-01;0;74;100;41;100;61;61;100;88;64;34;86;49;49;69;43;98;100;98;78;100;100;Southern Denmark;DK-83
44;Region Zealand;DK-85;2006-09-01;100;51;67;0;96;0;0;90;100;63;42;100;100;0;71;52;100;93;24;100;81;0;Zealand;DK-85
45;Capital Region of Denmark;DK-84;2006-10-01;47;100;91;51;65;59;42;81;70;36;48;46;50;100;47;41;100;55;39;76;43;25;Capital;DK-84
46;Central Denmark Region;DK-82;2006-10-01;53;54;79;100;49;100;83;78;65;100;54;49;33;33;27;60;0;53;60;100;100;0;Central Denmark;DK-82
47;North Denmark Region;DK-81;2006-10-01;81;86;100;0;74;0;100;100;76;85;60;100;100;0;81;20;0;21;74;63;86;100;North Denmark;DK-81
48;Region Syddanmark;DK-83;2006-10-01;33;66;82;49;67;67;41;95;64;72;85;30;62;41;81;41;0;100;54;67;70;0;Southern Denmark;DK-83
49;Region Zealand;DK-85;2006-10-01;100;42;97;0;100;69;86;93;100;56;100;62;83;0;100;100;0;72;100;89;0;0;Zealand;DK-85
50;Capital Region of Denmark;DK-84;2006-11-01;50;100;98;100;60;34;55;84;83;35;100;40;67;80;53;75;0;63;92;79;26;20;Capital;DK-84
51;Central Denmark Region;DK-82;2006-11-01;82;83;88;81;92;59;54;83;77;77;59;24;66;0;13;89;0;68;75;100;50;39;Central Denmark;DK-82
52;North Denmark Region;DK-81;2006-11-01;100;56;77;0;100;60;82;86;89;100;60;48;100;0;40;90;0;78;57;65;0;0;North Denmark;DK-81
53;Region Syddanmark;DK-83;2006-11-01;40;73;90;81;97;32;100;74;93;73;41;39;61;97;33;73;0;100;100;94;100;0;Southern Denmark;DK-83
54;Region Zealand;DK-85;2006-11-01;84;58;100;84;83;100;68;100;100;50;83;100;0;100;100;100;0;54;63;96;52;100;Zealand;DK-85
55;Capital Region of Denmark;DK-84;2006-12-01;38;64;84;95;88;39;43;67;87;35;62;60;53;53;35;42;100;56;65;68;39;100;Capital;DK-84
56;Central Denmark Region;DK-82;2006-12-01;100;56;89;100;100;15;80;50;89;77;100;100;100;59;49;100;0;100;90;100;100;95;Central Denmark;DK-82
57;North Denmark Region;DK-81;2006-12-01;87;100;100;0;66;92;100;100;80;100;51;77;0;0;100;44;0;81;100;87;28;0;North Denmark;DK-81
58;Region Syddanmark;DK-83;2006-12-01;69;23;88;49;62;100;59;86;100;94;61;76;61;48;30;88;0;77;100;63;39;0;Southern Denmark;DK-83
59;Region Zealand;DK-85;2006-12-01;0;35;67;0;36;56;82;64;100;56;63;63;0;100;0;74;0;80;41;78;47;0;Zealand;DK-85
60;Capital Region of Denmark;DK-84;2007-01-01;49;100;92;86;78;41;29;59;76;32;68;75;12;37;33;63;100;46;64;92;45;20;Capital;DK-84
61;Central Denmark Region;DK-82;2007-01-01;26;70;95;70;100;63;16;57;75;66;67;57;47;39;72;69;0;56;100;100;100;0;Central Denmark;DK-82
62;North Denmark Region;DK-81;2007-01-01;100;49;88;96;82;100;100;68;48;100;100;100;0;100;0;61;0;75;85;90;0;0;North Denmark;DK-81
63;Region Syddanmark;DK-83;2007-01-01;24;77;91;100;98;59;30;77;81;67;44;30;39;20;100;73;0;100;67;94;93;0;Southern Denmark;DK-83
64;Region Zealand;DK-85;2007-01-01;66;39;100;93;67;41;41;100;100;91;41;83;100;0;41;100;0;62;69;94;64;100;Zealand;DK-85
65;Capital Region of Denmark;DK-84;2007-02-01;76;100;93;86;52;53;41;100;82;35;68;100;40;70;57;46;100;44;55;60;21;33;Capital;DK-84
66;Central Denmark Region;DK-82;2007-02-01;66;83;88;99;64;62;39;69;86;60;100;47;31;53;51;100;0;40;54;71;23;31;Central Denmark;DK-82
67;North Denmark Region;DK-81;2007-02-01;0;57;100;62;74;100;0;69;68;100;65;77;100;85;84;81;0;100;100;55;100;100;North Denmark;DK-81
68;Region Syddanmark;DK-83;2007-02-01;100;56;81;97;49;69;100;100;97;72;82;75;39;100;57;55;0;66;59;67;49;59;Southern Denmark;DK-83
69;Region Zealand;DK-85;2007-02-01;68;34;84;100;100;0;0;87;100;67;64;61;80;0;100;65;0;56;40;100;40;0;Zealand;DK-85
70;Capital Region of Denmark;DK-84;2007-03-01;46;84;84;66;55;66;67;94;69;38;100;85;78;80;56;63;0;39;72;79;19;100;Capital;DK-84
71;Central Denmark Region;DK-82;2007-03-01;100;45;89;100;66;55;65;90;79;64;71;97;96;62;89;94;100;39;61;94;11;96;Central Denmark;DK-82
72;North Denmark Region;DK-81;2007-03-01;72;84;100;90;100;77;83;89;83;100;82;63;0;100;63;94;0;100;56;76;100;0;North Denmark;DK-81
73;Region Syddanmark;DK-83;2007-03-01;82;45;96;61;67;100;65;98;92;82;64;72;97;39;37;100;0;64;65;100;26;0;Southern Denmark;DK-83
74;Region Zealand;DK-85;2007-03-01;58;100;69;73;80;81;100;100;100;65;26;100;100;79;100;38;0;45;100;92;27;0;Zealand;DK-85
75;Capital Region of Denmark;DK-84;2007-04-01;83;100;86;73;91;54;17;76;68;40;96;88;40;36;33;58;100;71;39;72;22;70;Capital;DK-84
76;Central Denmark Region;DK-82;2007-04-01;78;61;88;89;86;93;47;58;73;73;100;64;38;30;61;77;0;100;59;78;83;100;Central Denmark;DK-82
77;North Denmark Region;DK-81;2007-04-01;100;77;81;100;47;100;0;99;49;100;99;0;0;100;100;61;0;84;45;100;100;0;North Denmark;DK-81
78;Region Syddanmark;DK-83;2007-04-01;80;42;88;82;100;78;100;100;84;86;87;65;48;48;58;80;0;94;53;68;52;84;Southern Denmark;DK-83
79;Region Zealand;DK-85;2007-04-01;82;87;100;88;75;81;0;80;100;72;61;100;100;0;40;100;0;97;100;63;54;0;Zealand;DK-85
80;Capital Region of Denmark;DK-84;2007-05-01;32;100;85;80;100;34;16;69;62;49;99;51;31;13;27;63;29;54;54;55;40;0;Capital;DK-84
81;Central Denmark Region;DK-82;2007-05-01;100;62;74;77;57;45;37;73;59;91;65;46;15;20;40;50;0;41;52;58;61;32;Central Denmark;DK-82
82;North Denmark Region;DK-81;2007-05-01;0;90;100;44;93;100;100;92;53;99;100;100;100;100;24;100;0;24;99;100;100;0;North Denmark;DK-81
83;Region Syddanmark;DK-83;2007-05-01;47;49;81;57;78;44;38;100;73;94;88;19;0;39;18;70;0;40;47;65;58;100;Southern Denmark;DK-83
84;Region Zealand;DK-85;2007-05-01;100;21;97;100;45;27;0;99;100;100;80;0;40;27;100;27;100;100;100;42;0;0;Zealand;DK-85
85;Capital Region of Denmark;DK-84;2007-06-01;46;82;96;93;72;57;41;68;81;43;96;19;39;35;83;33;0;72;35;61;10;83;Capital;DK-84
86;Central Denmark Region;DK-82;2007-06-01;60;64;97;100;100;74;0;79;84;84;100;77;76;15;75;57;0;65;57;82;59;82;Central Denmark;DK-82
87;North Denmark Region;DK-81;2007-06-01;100;100;85;92;79;100;0;100;79;100;89;38;0;100;100;51;0;100;100;76;100;0;North Denmark;DK-81
88;Region Syddanmark;DK-83;2007-06-01;74;74;100;83;88;18;100;85;100;70;46;14;0;37;92;33;100;48;23;67;62;100;Southern Denmark;DK-83
89;Region Zealand;DK-85;2007-06-01;78;50;83;40;62;39;73;63;85;60;70;100;100;40;79;100;0;79;67;100;52;0;Zealand;DK-85
90;Capital Region of Denmark;DK-84;2007-07-01;84;94;93;72;66;53;100;75;79;39;92;49;39;44;32;37;100;80;44;64;31;0;Capital;DK-84
91;Central Denmark Region;DK-82;2007-07-01;60;80;72;92;45;81;0;60;74;76;100;30;58;100;63;39;0;64;68;89;75;0;Central Denmark;DK-82
92;North Denmark Region;DK-81;2007-07-01;100;100;100;90;100;77;0;100;78;100;60;100;0;84;60;0;0;43;100;47;100;100;North Denmark;DK-81
93;Region Syddanmark;DK-83;2007-07-01;37;87;96;100;92;100;0;74;100;72;56;18;0;61;100;36;0;100;65;100;37;0;Southern Denmark;DK-83
94;Region Zealand;DK-85;2007-07-01;0;52;81;53;90;0;0;74;96;81;47;77;100;0;93;100;0;66;57;37;78;0;Zealand;DK-85
95;Capital Region of Denmark;DK-84;2007-08-01;20;100;87;73;50;30;53;77;83;45;98;100;15;35;51;53;19;59;41;91;19;41;Capital;DK-84
96;Central Denmark Region;DK-82;2007-08-01;30;90;100;100;72;64;60;100;72;92;81;90;29;40;31;47;0;90;37;100;24;0;Central Denmark;DK-82
97;North Denmark Region;DK-81;2007-08-01;100;61;100;60;100;100;100;98;55;86;42;92;100;100;71;100;0;100;29;85;100;0;North Denmark;DK-81
98;Region Syddanmark;DK-83;2007-08-01;48;84;100;86;66;60;37;95;82;100;62;22;36;36;100;65;0;84;60;92;18;100;Southern Denmark;DK-83
99;Region Zealand;DK-85;2007-08-01;78;60;81;78;71;26;0;85;100;89;100;48;78;53;54;78;100;95;100;99;51;0;Zealand;DK-85
100;Capital Region of Denmark;DK-84;2007-09-01;50;100;97;85;65;57;51;77;69;40;100;43;31;85;60;79;0;44;60;52;71;51;Capital;DK-84
101;Central Denmark Region;DK-82;2007-09-01;50;60;94;100;27;22;30;70;70;84;90;100;30;100;45;58;0;57;78;89;93;100;Central Denmark;DK-82
102;North Denmark Region;DK-81;2007-09-01;0;22;87;93;100;98;100;100;56;100;87;55;100;0;89;53;0;100;100;100;100;0;North Denmark;DK-81
103;Region Syddanmark;DK-83;2007-09-01;77;58;100;99;38;55;76;90;65;83;59;83;38;83;100;80;100;57;38;74;76;0;Southern Denmark;DK-83
104;Region Zealand;DK-85;2007-09-01;100;27;84;96;41;100;0;76;100;61;43;45;0;0;96;100;0;58;67;46;82;0;Zealand;DK-85
105;Capital Region of Denmark;DK-84;2007-10-01;30;79;92;64;51;77;37;65;81;51;98;36;74;100;66;53;0;47;66;60;34;15;Capital;DK-84
106;Central Denmark Region;DK-82;2007-10-01;88;65;94;100;42;100;100;68;89;92;51;100;87;50;29;51;0;85;95;57;37;30;Central Denmark;DK-82
107;North Denmark Region;DK-81;2007-10-01;100;100;91;85;100;90;62;75;62;98;63;97;100;0;0;0;100;96;100;100;100;100;North Denmark;DK-81
108;Region Syddanmark;DK-83;2007-10-01;92;37;100;87;66;75;45;75;87;100;51;71;55;62;46;41;37;67;74;54;37;76;Southern Denmark;DK-83
109;Region Zealand;DK-85;2007-10-01;79;51;98;95;56;91;49;100;100;80;100;77;0;0;100;100;0;100;88;52;41;80;Zealand;DK-85
110;Capital Region of Denmark;DK-84;2007-11-01;39;100;100;79;33;45;52;91;64;50;84;57;50;75;100;58;0;81;57;75;30;22;Capital;DK-84
111;Central Denmark Region;DK-82;2007-11-01;30;74;86;100;62;74;80;88;68;79;54;94;100;100;78;50;0;75;48;74;67;30;Central Denmark;DK-82
112;North Denmark Region;DK-81;2007-11-01;100;68;88;83;52;49;77;77;79;91;100;95;0;0;75;85;0;87;100;100;100;100;North Denmark;DK-81
113;Region Syddanmark;DK-83;2007-11-01;82;54;94;80;77;64;100;80;71;100;67;59;62;42;82;21;100;100;48;58;37;37;Southern Denmark;DK-83
114;Region Zealand;DK-85;2007-11-01;32;82;91;89;100;100;61;100;100;89;67;100;67;0;89;100;0;69;72;80;82;0;Zealand;DK-85
115;Capital Region of Denmark;DK-84;2007-12-01;13;100;73;41;41;71;48;66;88;35;100;58;44;45;43;61;43;62;97;65;30;58;Capital;DK-84
116;Central Denmark Region;DK-82;2007-12-01;34;55;76;43;50;100;73;62;62;84;90;55;37;47;47;56;0;71;79;100;50;37;Central Denmark;DK-82
117;North Denmark Region;DK-81;2007-12-01;100;27;100;80;43;92;0;100;55;86;58;64;63;64;100;63;0;100;100;69;43;0;North Denmark;DK-81
118;Region Syddanmark;DK-83;2007-12-01;36;43;80;52;61;65;67;93;89;97;48;34;22;0;50;45;100;71;76;69;23;46;Southern Denmark;DK-83
119;Region Zealand;DK-85;2007-12-01;26;53;77;100;100;48;100;94;100;100;60;100;100;100;62;100;0;71;89;54;100;100;Zealand;DK-85
120;Capital Region of Denmark;DK-84;2008-01-01;50;88;91;68;57;100;22;67;68;45;74;100;66;60;43;82;22;100;80;54;40;67;Capital;DK-84
121;Central Denmark Region;DK-82;2008-01-01;98;59;88;95;75;81;57;68;57;70;92;54;70;74;62;97;29;78;74;66;68;0;Central Denmark;DK-82
122;North Denmark Region;DK-81;2008-01-01;100;37;100;58;100;47;100;53;61;100;100;93;0;100;100;55;100;89;100;100;100;0;North Denmark;DK-81
123;Region Syddanmark;DK-83;2008-01-01;36;76;89;80;75;92;62;84;79;73;64;34;100;37;64;100;0;93;66;55;49;94;Southern Denmark;DK-83
124;Region Zealand;DK-85;2008-01-01;52;100;98;100;58;72;38;100;100;76;39;0;81;0;69;97;0;54;57;56;79;100;Zealand;DK-85
125;Capital Region of Denmark;DK-84;2008-02-01;33;100;86;55;50;45;19;72;59;49;92;100;22;45;71;82;51;55;41;56;59;19;Capital;DK-84
126;Central Denmark Region;DK-82;2008-02-01;28;87;82;100;37;30;29;83;71;82;93;40;36;59;75;74;100;70;66;66;59;38;Central Denmark;DK-82
127;North Denmark Region;DK-81;2008-02-01;0;40;100;64;100;100;100;87;60;100;100;44;100;100;75;42;0;100;100;100;100;0;North Denmark;DK-81
128;Region Syddanmark;DK-83;2008-02-01;58;40;87;86;73;41;18;97;74;82;72;41;35;74;100;97;0;81;62;65;72;46;Southern Denmark;DK-83
129;Region Zealand;DK-85;2008-02-01;100;40;87;87;73;30;39;100;100;79;56;88;39;80;99;100;0;97;91;47;53;100;Zealand;DK-85
